ID,hamming_cluster
20170706170898,6
20160706160122,6
20100808100825,1
20060201060961,3
20180112171344,2
20050504051614,2
20131110130613,5
20100201100866,5
20050201051197,5
20071009070705,6
20090301091303,4
20061010060716,5
20131109132257,6
20120112112207,1
20140909141998,6
20170907170139,1
20050111041043,6
20140302141176,2
20110403110727,2
20160504161249,2
20160402160144,1
20060302062225,5
20150706151980,5
20150403150021,6
20050201052125,6
20051110051627,6
20170112160573,6
20140605141002,6
20030402033057,2
20110706110652,5
20141009141232,1
20170908172098,1
20050807051667,1
20170605170875,2
20071111070755,4
20140112130545,6
20030403033412,6
20140908141472,1
20150112140002,1
20100706101475,2
20081211082313,4
20130112120052,6
20080605080614,6
20040403041180,6
20051110052275,6
20080112070633,6
20140605140651,6
20061009060807,3
20120303120815,5
20070111062096,5
20131110131029,6
20041111040100,6
20050605052413,1
20180909181902,5
20150706152239,5
20151210150845,6
20120706121816,3
20070808072090,2
20070201071416,4
20050201051281,3
20180504182505,6
20060706060880,5
20031010032100,2
20110302110511,6
20110808112197,1
20110302111523,2
20121010121638,5
20120706120794,5
20151008151955,2
20120302122540,1
20160908161751,2
20090112082038,6
20100907100921,5
20090807091243,6
20110504111643,1
20031008032448,1
20160504162422,2
20120908122509,3
20051211052141,4
20120706121063,5
20140403140668,1
20050301050661,3
20120302121834,1
20161211161986,5
20080111070616,2
20180908181414,5
20070907070988,1
20130807131442,1
20081211082364,2
20121009122097,1
20130706130823,6
20130302130918,1
20080201080568,5
20050112042004,6
20170302171198,2
20170505171617,6
20061009060537,6
20120604120848,6
20070302071671,2
20130908132184,5
20150605150881,1
20091111091863,5
20150706152392,3
20040906041109,2
20110504110630,4
20100112092076,5
20161110161805,5
20170806170830,2
20090808091279,1
20060112051045,1
20030403030064,5
20170706172520,2
20180604180844,5
20181110181521,5
20181110181766,5
20170605171852,5
20081212081280,1
20030807030533,2
20160503160864,5
20060403061330,5
20111110112197,1
20090112081889,2
20110302111888,6
20160302161904,2
20070403072213,6
20090505091994,6
20060302062520,2
20150707151313,1
20120402121881,2
20151211150018,5
20111111112437,2
20040605040773,1
20051211051503,2
20031010031936,5
20030201030827,1
20090705090835,1
20150908151684,1
20070605070672,1
20070101071368,5
20150101150018,6
20031211030680,1
20041211042499,1
20150403152199,2
20091009090872,2
20090302091368,6
20150201150803,6
20051009050048,2
20110112101235,6
20180504181148,5
20110212102287,2
20051009052348,2
20090101090755,1
20090605090966,1
20170112161138,1
20160908161527,2
20080706081706,6
20060302062528,1
20180908182345,6
20111210110509,6
20181211181431,1
20180403182220,1
20081110081994,3
20141211141108,4
20050908052414,2
20151211152289,5
20161210162037,5
20040403040739,5
20050706052294,2
20100808101238,4
20120909120825,2
20040505042042,2
20070504072065,2
20061007062324,6
