ID,hamming_cluster
20090606091798,4
20180806181793,1
20120201121586,1
20161211162288,3
20161009160848,2
20070402071172,2
20171008171778,1
20120101120508,1
20180112170867,4
20061008062376,2
20070101071377,1
20040806040063,1
20101009100902,1
20181211181697,4
20170806171919,4
20101211101632,4
20170112160895,4
20110605111089,1
20170705171064,1
20091009091081,4
20170706172404,4
20040908041196,4
20060504062530,4
20070403070893,2
20150807151286,1
20050807051257,4
20030201032115,1
20150202152212,1
20030100015986,4
20160201161654,4
20061009060767,4
20120504120982,1
20111110110586,3
20090504092480,4
20100403102320,1
20170112161682,4
20101110101033,1
20060908061318,1
20180605180549,1
20170504172383,1
20150707151030,1
20150201152015,1
20161109162049,1
20070807072072,4
20080302081226,1
20050806051369,4
20111009111241,1
20130402131443,4
20150112142381,1
20130112121419,4
20090808091706,4
20131211132168,4
20100403100953,1
20130705131930,1
20060201061148,2
20160908160913,1
20151009150544,4
20180504181751,4
20090908091340,4
20071009072272,4
20031008031449,1
20130605130736,4
20120503121295,1
20070909070922,1
20030806033200,1
20151009152350,4
20141009141477,4
20070706072032,4
20060706060751,1
20071109071532,1
20131211131101,4
20180604181252,4
20080302082318,1
20180503181732,1
20050807050804,1
20061110061673,3
20151010150144,1
20040111032998,4
20031009030853,1
20130908131430,1
20150908151950,1
20070807072620,4
20140112131039,1
20170706172242,4
20140908142175,1
20080605081812,1
20180201181331,4
20060505062355,4
20050112040812,1
20091110090601,1
20130112122269,4
20101212101761,3
20071211071073,1
20181110182248,4
20050604051001,4
20150504150792,4
20131110130851,1
20130403131212,4
20121110121831,1
20090908091299,3
20150807150612,1
20151009150526,1
20071110071198,2
20150706151694,1
20100201101186,2
20151111150675,4
20160505160058,4
20081211081661,1
20120403120510,4
20060807060620,2
20180706182121,4
20051009051953,4
20120112112240,4
20040908040935,4
20140605141114,4
20150807152247,2
20180706181622,1
20130403132150,1
20040605040893,1
20070201072125,1
20110101110912,1
20180504182539,2
20151211150679,4
20071010071284,1
20150706151561,2
20070302072512,1
20180807180850,4
20110201110623,4
20150112141320,4
20170201171377,4
20180806180597,1
20051009050752,4
20121211120913,4
20070111060992,1
20101009101458,2
20060605062191,4
20180807182242,4
20120908120682,4
20101210102448,1
20081110080570,1
20070505071174,1
20130302132213,1
20140302141155,1
20160201161096,1
20081211082284,4
20140403141612,4
20081009082370,1
20171110170546,2
20130907130124,1
20110605112320,4
20150807151802,4
20100504102432,4
20131009131376,1
20120706121740,4
20140201141630,4
20150403152187,1
20050909051523,4
20080201081111,4
20131010131220,1
20080606081865,1
20070112062051,1
20040807040958,1
20050302051087,1
20180504181541,1
20070908071320,1
20040303042009,2
20091210092401,4
20110504112043,3
20050212041925,1
20060101061325,4
20170909171112,1
20151009151675,4
20030403032942,1
20050505051308,1
20040807041722,4
20180403181477,3
20151009150667,4
20181110182535,1
20070808071211,4
20160303161951,4
20050504050109,3
20140605141608,4
20171210170664,3
20040706041008,4
20090707091163,4
20050706050982,3
20090505090946,1
20141211141001,1
20040908041271,1
20130504130522,2
20141211140064,4
20100303100811,4
20080605081382,1
20040212031466,4
20150806151775,4
20160807162436,1
20080504082334,4
20170807170640,4
20080605081085,4
20061110061526,4
20140908140735,1
20030807030204,4
20061008061969,4
20110706110689,1
20030807032405,4
20070705072054,4
20070706072688,4
20111009110658,1
20070302072307,1
20170101170799,1
20111009110643,1
20160907160717,4
20051110050770,4
20070504070820,4
20050201051710,1
20180605181778,4
20061009061094,4
20130707131299,1
20130301132364,1
20151009150949,2
20160808161216,2
20090302092001,4
20091009091433,4
20110212100792,1
20180908182309,2
20130807130992,1
20160303161079,1
20051009052043,1
20140806141906,1
20080403082003,3
20171010172499,4
20051110051147,1
20141009141249,4
20060302061970,4
20111211111940,4
20181110182154,4
20180807180911,4
20050112041597,4
20081212082036,4
20180302180545,1
20080302080735,2
20151211151109,1
20080302082194,1
20120606121541,1
20110504111133,4
20150908152288,1
20061010061193,4
20030504031902,1
20160806161001,1
20051010052324,1
20081211081031,1
20031110031036,4
20150302150989,4
20040201041964,1
20120201121926,4
20130706131620,1
20110101111041,3
20070706071024,4
20030705032837,1
20140706141246,4
20170908171616,1
20140111130854,1
20040403041946,3
20031008033518,1
20090504091352,1
20180606182455,3
20060301061831,1
20161211161265,4
20040808042561,1
20030605031376,4
20120201120608,1
20171110172157,4
20170101171563,1
20120706121684,1
20080303080047,1
20140302141278,1
20050706051168,1
20040807042327,1
20060605061196,1
20160706160799,1
20100605101698,4
20170303170703,4
20090908090147,4
20170403171978,4
20130907131709,2
20131110130980,4
20070909070538,1
20131210131741,4
20050101050951,4
20030807031943,1
20051110051847,1
20111110111767,1
20141111140538,4
20071211071283,1
20030504032079,4
20040605042162,4
20171211171166,4
20091111091181,4
20051211051907,4
20071210071182,2
20100403100010,1
20030504031450,1
20181110181414,1
20150112141320,4
20060403060505,3
20120302122192,1
20060706060780,1
20130706131059,1
20110706112401,1
20031109031787,4
20111212111092,4
20100112092383,1
20180504180833,1
20180112171060,1
20130908131513,1
20141009140160,2
20161009161900,4
20121009121522,4
20040201041831,1
20120504121944,4
20051210050728,4
20031111032685,4
20050112041601,1
20110908112140,4
20031109032492,1
20150403150046,1
20140201140800,4
20050302051720,1
20040808041527,4
20090201091612,4
20120908121419,1
20160404162262,4
20070604070826,4
20090807091715,4
