ID,lv_cluster
20101009102047,4
20141009142313,3
20031211030130,3
20180112171069,4
20050112041993,3
20180403182015,4
20050806052195,4
20080706081681,4
20131109131044,4
20090112081901,5
20031210033228,4
20040706042320,1
20090302091932,4
20060807060816,3
20050604052327,3
20160302162036,3
20080403081686,4
20030605033656,4
20130505130881,3
20161010161329,1
20081007082189,4
20150112141613,4
20181212182252,4
20060403060582,1
20080403081875,4
20050807050528,3
20050807050799,3
20050201051950,2
20140605141290,3
20090212080796,3
20171009170511,4
20140504140547,4
20071211070901,3
20181110181910,3
20050807050548,4
20080907080666,4
20121211120903,2
20171109172397,3
20140806141286,2
20101111102402,5
20070403071062,4
20040707042531,2
20110807111507,3
20041211041549,3
20040807041518,2
20060111051175,3
20160302160643,3
20120806122196,3
20180907180077,4
20060807060818,3
20030302031407,3
20120212110921,1
20110403110516,3
20151009151877,4
20171110171807,4
20060705062552,3
20101110101655,2
20090504091337,3
20100403101977,4
20160807161718,2
20050112041352,5
20080112070719,1
20161211161105,4
20101008101039,1
20080504081948,4
20090404091875,3
20161009160541,4
20170605170113,3
20161110161593,4
20100807102343,4
20050504051948,4
20030402031232,1
20080505081130,4
20160504160709,2
20180605180764,4
20050302051718,2
20110101112180,3
20090302092212,4
20101211101984,3
20060112052142,1
20120403122211,4
20030706031160,4
20160807160571,5
20120201121422,2
20060807061691,4
20070403072094,4
20030908032434,4
20110111102446,4
20170201171743,4
20070201072232,4
20181111181456,2
20130807131244,4
20120909121705,3
20160403161818,4
20110706111130,3
20080605081526,3
20141110141966,3
20100302102205,3
20091009091576,2
20170605171207,3
20040706040054,5
20120706122037,2
20030112023232,1
20170907170750,4
20110706110043,5
20101211101595,3
20130705131073,4
20080605082461,3
20060112051675,4
20130807130544,5
20090807092125,4
20070402070739,3
20060201060532,4
20100908102388,3
20030112021777,4
20130503130754,4
20140908140530,2
20160505161134,4
20120808122488,2
20031009030892,3
20160807160056,3
20110908112056,3
20131009132325,4
20100908101130,4
20180807181042,4
20181009181309,4
20140706140851,2
20130212120510,3
20100807102138,3
20150807151152,4
20091009090795,5
20050201050765,4
20081110080021,4
20060906060647,4
20171008171037,4
20051009051905,4
20080401080510,1
20140302142027,4
20160605160559,3
20160605161999,5
20131210130542,1
20150807150645,3
20090706091053,4
20180705182426,3
20110605111916,3
20181009181458,4
20161009161518,3
20110505110041,1
20150112140794,4
20170403170632,2
20180808180802,5
20131110130701,5
20171010171949,3
20040906041316,2
20070908071598,4
20040303041367,1
20140706141394,3
20080201080985,4
20111211111429,3
20091009090852,2
20121211121992,3
20110112101046,1
20071211071968,4
20140908142073,3
20091009092372,4
20161110161235,1
20041009041590,3
20160908160510,3
20141009141478,2
20081008080866,3
20110504110527,4
20080705081337,4
20051211050793,3
20060403061662,4
20111010111685,2
20040806041810,3
20050505051212,4
20160605162494,4
20150706151028,3
20090302091276,3
20131110131968,3
20090402091867,4
20030112021005,4
20080706082347,3
20080302081874,3
20040908041718,1
20180706181121,3
20030908031701,4
20081009082282,2
20141110142514,3
20121212121270,3
20170503171349,4
20081110081333,4
20060302060083,4
20091211091919,4
20150808150652,3
20031009030593,4
20171009171581,4
20170908172505,4
20120705121282,2
20110403112031,3
20040605041803,3
20160302160987,3
20060101061781,4
20170605171463,2
20090112082474,3
20160403160782,4
20170808171095,1
20180101180897,4
20120807121734,3
20130403130767,4
20150403150155,3
20180705181470,4
20091111090948,1
20060807061140,3
20071009072528,4
20110605111578,2
20140604140609,4
20121010122450,2
20040302042478,3
20050201050015,3
20111110110779,5
20131211132170,4
20060908062241,2
20030908032124,4
20050302051598,4
20051110050598,5
20180503181205,4
20090302090139,3
20060504060080,3
20080808082247,3
20110908110924,4
20140603142334,4
20030604031179,2
20071110072192,4
20030201032254,1
20160807161159,3
20041110041185,3
20101110101528,3
20120403120589,3
20170807172504,3
20130201131816,3
20040403040070,3
20101009101933,2
20090302092357,3
20110908110511,3
20110403111399,3
20030403031280,1
20081008082078,1
20050112042533,4
20101110101306,4
20100112092411,5
20040909040983,3
20180201180778,4
20120605120857,4
20111211110523,3
20170706171790,2
20121009120857,2
20181110182062,3
20030605033634,4
20180302181274,4
20130706130794,3
20040301041815,3
20141211141066,3
20150404151136,3
20150112140694,4
20171009172119,1
20170111161705,3
20150908150959,1
20180403181318,3
20150504152151,3
20150301152451,3
20150605152253,3
20100807101001,4
20120807121959,3
20140504142415,3
20120706121292,4
20080504082482,4
20111010111139,3
20180707180873,4
20100604100875,1
20040201042075,3
20040504042159,4
20050302052157,4
20030706030863,3
20040605041806,4
20180807180931,3
20070302070699,4
20030503031373,4
20170908172424,3
20031109033416,1
20141008141756,3
20131211131178,3
20120505121702,3
20081211081443,3
20050908051575,3
20050201051849,1
20120101120757,3
20060807062198,3
20140706141427,4
20170201170148,5
20121211120771,3
20121010122467,3
20070111060781,4
20060707062515,3
20071009072527,3
20160404160897,3
20151211151067,4
20060201061263,4
20170706171426,5
20110808112167,4
20150707151146,4
20061211061778,4
20130201130547,3
20110706110737,3
20101009102005,3
20180706180112,3
20130504132424,4
20110706111356,4
20050908052450,4
20180112170705,3
20041110041652,4
20180112171638,1
20050707052548,4
20110403112064,2
20090504091285,2
20161211161441,3
20131009131015,4
