ID,lcs_cluster
20100605102325,1
20070302071274,1
20030808032269,3
20121211121874,3
20140403141567,2
20040605041801,3
20060403060610,1
20061209061942,1
20060605061358,1
20060201062565,3
20071010070542,3
20070302071833,1
20050302050560,1
20140706140818,1
20090403091976,1
20051211052313,3
20070504072362,1
20150403151570,1
20090112080748,1
20050807052491,1
20050807052510,1
20121110120538,1
20080605081165,3
20030112022442,2
20060302062018,3
20080707081887,3
20081009081434,2
20050908050875,1
20130201130890,3
20060807061663,1
20110606111696,3
20160403161876,1
20171211172462,3
20101110101087,1
20040605042190,3
20050806052039,3
20181211180506,1
20060707062461,1
20091010091602,3
20040302041703,3
20061110062251,2
20091009091604,1
20180605181201,3
20080807081473,1
20040302041774,1
20151109152083,1
20180503180870,3
20170112161291,2
20070302071220,1
20050201051566,3
20110808111417,3
20090707091395,3
20160605160949,1
20100807102538,1
20141211140560,1
20110112101252,1
20100605101838,3
20160212152404,3
20070302070948,1
20040112032373,1
20141210141295,1
20120403122174,3
20080909082417,3
20150302152210,1
20120403121822,1
20080212070803,1
20080605080920,3
20171211171412,1
20090504091986,3
20170806172378,3
20070706071913,1
20041010042532,3
20130706131304,3
20101009102047,1
20141009142313,3
20031211030130,3
20180112171069,1
20050112041993,3
20180403182015,1
20050806052195,1
20080706081681,1
20131109131044,1
20090112081901,1
20031210033228,1
20040706042320,2
20090302091932,1
20060807060816,3
20050604052327,3
20160302162036,3
20080403081686,1
20030605033656,1
20130505130881,3
20161010161329,2
20081007082189,1
20150112141613,1
20181212182252,1
20060403060582,2
20080403081875,1
20050807050528,3
20050807050799,3
20050201051950,3
20140605141290,3
20090212080796,3
20171009170511,1
20140504140547,1
20071211070901,3
20181110181910,3
20050807050548,1
20080907080666,1
20121211120903,3
20171109172397,3
20140806141286,3
20101111102402,3
20070403071062,1
20040707042531,3
20110807111507,3
20041211041549,3
20040807041518,3
20060111051175,3
20160302160643,3
20120806122196,3
20180907180077,1
20060807060818,3
20030302031407,3
20120212110921,2
20110403110516,3
20151009151877,1
20171110171807,1
20060705062552,3
20101110101655,3
20090504091337,3
20100403101977,1
20160807161718,3
20050112041352,1
20080112070719,2
20161211161105,1
20101008101039,2
20080504081948,1
20090404091875,3
20161009160541,1
20170605170113,3
20161110161593,1
20100807102343,1
20050504051948,3
20030402031232,3
20080505081130,1
20160504160709,3
20180605180764,1
20050302051718,3
20110101112180,3
20090302092212,1
20101211101984,3
20060112052142,2
20120403122211,1
20030706031160,1
20160807160571,3
20120201121422,3
20060807061691,1
20070403072094,1
20030908032434,1
20110111102446,1
20170201171743,1
20070201072232,1
20181111181456,3
20130807131244,1
20120909121705,3
20160403161818,1
20110706111130,3
20080605081526,3
20141110141966,3
20100302102205,3
20091009091576,3
20170605171207,3
20040706040054,1
20120706122037,3
20030112023232,1
20170907170750,1
20110706110043,3
20101211101595,3
20130705131073,1
20080605082461,3
20060112051675,1
20130807130544,1
20090807092125,1
20070402070739,3
20060201060532,1
20100908102388,3
20030112021777,1
20130503130754,1
20140908140530,3
20160505161134,1
20120808122488,3
20031009030892,3
20160807160056,3
20110908112056,3
20131009132325,1
20100908101130,1
20180807181042,1
20181009181309,1
20140706140851,3
20130212120510,3
20100807102138,3
20150807151152,1
20091009090795,1
20050201050765,1
20081110080021,1
20060906060647,1
20171008171037,1
20051009051905,1
20080401080510,2
20140302142027,1
20160605160559,3
20160605161999,1
20131210130542,2
20150807150645,3
20090706091053,1
20180705182426,3
20110605111916,3
20181009181458,1
20161009161518,3
20110505110041,2
20150112140794,1
20170403170632,3
20180808180802,1
20131110130701,1
20171010171949,3
20040906041316,3
20070908071598,1
20040303041367,2
20140706141394,3
20080201080985,1
20111211111429,1
20091009090852,3
20121211121992,3
20110112101046,2
20071211071968,1
20140908142073,3
20091009092372,1
20161110161235,2
20041009041590,3
20160908160510,3
20141009141478,3
20081008080866,3
20110504110527,1
20080705081337,1
20051211050793,3
20060403061662,1
20111010111685,3
20040806041810,3
20050505051212,1
20160605162494,1
20150706151028,3
20090302091276,3
20131110131968,3
20090402091867,1
20030112021005,1
20080706082347,3
20080302081874,3
20040908041718,2
20180706181121,3
20030908031701,1
20081009082282,3
