ID,cluster
20050806051369,1
20111009111241,4
20130402131443,1
20150112142381,4
20130112121419,1
20090808091706,1
20131211132168,1
20100403100953,4
20130705131930,4
20060201061148,2
20160908160913,4
20151009150544,1
20180504181751,1
20090908091340,1
20071009072272,1
20031008031449,4
20130605130736,1
20120503121295,4
20070909070922,4
20030806033200,4
20151009152350,1
20141009141477,1
20070706072032,1
20060706060751,4
20071109071532,4
20131211131101,1
20180604181252,1
20080302082318,4
20180503181732,4
20050807050804,4
20061110061673,3
20151010150144,4
20040111032998,1
20031009030853,4
20130908131430,4
20150908151950,4
20070807072620,1
20140112131039,4
20170706172242,1
20140908142175,4
20080605081812,4
20180201181331,1
20060505062355,1
20050112040812,4
20091110090601,4
20130112122269,1
20101212101761,3
20071211071073,4
20181110182248,1
20050604051001,1
20150504150792,1
20131110130851,4
20130403131212,1
20121110121831,4
20090908091299,3
20150807150612,4
20151009150526,4
20071110071198,2
20150706151694,4
20100201101186,2
20151111150675,1
20160505160058,1
20081211081661,4
20120403120510,1
20060807060620,2
20180706182121,1
20051009051953,1
20120112112240,1
20040908040935,1
20140605141114,1
20150807152247,2
20180706181622,4
20130403132150,4
20040605040893,4
20070201072125,4
20110101110912,4
20180504182539,2
20151211150679,1
20071010071284,4
20150706151561,2
20070302072512,4
20180807180850,1
20110201110623,1
20150112141320,1
20170201171377,1
20180806180597,4
20051009050752,1
20121211120913,1
20070111060992,4
20101009101458,2
20060605062191,1
20180807182242,1
20120908120682,1
20101210102448,4
20081110080570,4
20070505071174,4
20130302132213,4
20140302141155,4
20160201161096,4
20081211082284,1
20140403141612,1
20081009082370,4
20171110170546,2
20130907130124,4
20110605112320,1
20150807151802,1
20100504102432,1
20131009131376,4
20120706121740,1
20140201141630,1
20150403152187,4
20050909051523,1
20080201081111,1
20131010131220,4
20080606081865,4
20070112062051,4
20040807040958,4
20050302051087,4
20180504181541,4
20070908071320,4
20040303042009,2
20091210092401,1
20110504112043,3
20050212041925,4
20060101061325,1
20170909171112,4
20151009151675,1
20030403032942,4
20050505051308,4
20040807041722,1
20180403181477,3
20151009150667,1
20181110182535,4
20070808071211,1
20160303161951,1
20050504050109,3
20140605141608,1
20171210170664,3
20040706041008,1
20090707091163,1
20050706050982,3
20090505090946,4
20141211141001,4
20040908041271,4
20130504130522,2
20141211140064,1
20100303100811,1
20080605081382,4
20040212031466,1
20150806151775,1
20160807162436,4
20080504082334,1
20170807170640,1
20080605081085,1
20061110061526,1
20140908140735,4
20030807030204,1
20061008061969,1
20110706110689,4
20030807032405,1
20070705072054,1
20070706072688,1
20111009110658,4
20070302072307,4
20170101170799,4
20111009110643,4
20160907160717,1
20051110050770,1
20070504070820,1
20050201051710,4
20180605181778,1
20061009061094,1
20130707131299,4
20130301132364,4
20151009150949,2
20160808161216,2
20090302092001,1
20091009091433,1
20110212100792,4
20180908182309,2
20130807130992,4
20160303161079,4
20051009052043,4
20140806141906,4
20080403082003,3
20171010172499,1
20051110051147,4
20141009141249,1
20060302061970,1
20111211111940,1
20181110182154,1
20180807180911,1
20050112041597,1
20081212082036,1
20180302180545,4
20080302080735,2
20151211151109,4
20080302082194,4
20120606121541,4
20110504111133,1
20150908152288,4
20061010061193,1
20030504031902,4
20160806161001,4
20051010052324,4
20081211081031,4
20031110031036,1
20150302150989,1
20040201041964,4
20120201121926,1
20130706131620,4
20110101111041,3
20070706071024,1
20030705032837,4
20140706141246,1
20170908171616,4
20140111130854,4
20040403041946,3
20031008033518,4
20090504091352,4
20180606182455,3
20060301061831,4
20161211161265,1
20040808042561,4
20030605031376,1
20120201120608,4
20171110172157,1
20170101171563,4
20120706121684,4
20080303080047,4
20140302141278,4
20050706051168,4
20040807042327,4
20060605061196,4
20160706160799,4
20100605101698,1
20170303170703,1
20090908090147,1
20170403171978,1
20130907131709,2
20131110130980,1
20070909070538,4
20131210131741,1
20050101050951,1
20030807031943,4
20051110051847,4
20111110111767,4
20141111140538,1
20071211071283,4
20030504032079,1
20040605042162,1
20171211171166,1
20091111091181,1
20051211051907,1
20071210071182,2
20100403100010,4
20030504031450,4
20181110181414,4
20150112141320,1
20060403060505,3
20120302122192,4
20060706060780,4
20130706131059,4
20110706112401,4
20031109031787,1
20111212111092,1
20100112092383,4
20180504180833,4
20180112171060,4
20130908131513,4
20141009140160,2
20161009161900,1
20121009121522,1
20040201041831,4
20120504121944,1
20051210050728,1
20031111032685,1
20050112041601,4
20110908112140,1
20031109032492,4
20150403150046,4
20140201140800,1
20050302051720,4
20040808041527,1
20090201091612,1
20120908121419,4
20160404162262,1
20070604070826,1
20090807091715,1
20050806050573,1
20090707090825,4
20061009061201,2
20100302102435,2
20061009060735,1
20181109180867,1
20140808141384,1
20140402142269,3
20180112170586,1
20050606051819,1
20121211122454,1
