ID,osa_cluster
20060302062528,3
20180908182345,1
20111210110509,2
20181211181431,3
20180403182220,3
20081110081994,1
20141211141108,4
20050908052414,3
20151211152289,2
20161210162037,2
20040403040739,2
20050706052294,3
20100808101238,4
20120909120825,3
20040505042042,3
20070504072065,3
20061007062324,2
20080303081591,1
20061109061073,3
20081211080542,2
20120504121314,2
20131009131779,4
20030503032383,2
20100302100603,2
20121009121324,3
20080503082228,1
20030908030991,3
20181008181884,2
20150604151824,3
20100908102013,2
20040301042429,3
20140301141325,3
20111010111888,3
20100402101068,3
20171211172264,3
20060706062422,4
20130706132358,2
20130302130664,2
20170302170683,3
20080112072436,2
20100112090054,4
20090403090603,4
20180404182244,3
20110908112209,2
20100909101025,1
20040302040587,3
20051110051399,3
20080504082037,2
20140505140500,3
20150505150696,2
20070101071315,3
20110908111404,3
20120706121857,3
20170112161030,3
20161110162433,3
20181212180806,2
20131009132407,1
20100504100009,3
20060605061264,2
20050706052164,2
20160706161916,2
20110706111918,2
20080605082370,1
20090402091132,1
20151010150794,2
20130302131200,3
20140404140762,2
20090403091867,3
20070111061523,2
20070505072150,2
20060302061368,3
20130112120104,2
20041009042269,2
20080808080001,2
20150212141829,2
20131009131340,2
20041209040534,3
20090403092040,2
20170706171014,2
20181008181402,1
20060807062496,2
20120707121455,3
20030504031646,3
20030504032201,3
20110302110585,3
20120112110113,3
20071110072479,3
20160404161890,3
20140908142194,2
20030504032858,2
20140201141455,1
20061210060710,2
20071009071499,3
20050201050612,2
20050101050729,3
20070707070103,2
20070605071452,3
20180111171258,3
20080402080883,3
20061010061916,2
20030403030934,3
20041212041674,2
20091009090650,3
20071009070068,3
20050908052363,2
20170706171106,2
20100403101753,2
20090604091788,2
20040909041460,3
20040112033053,2
20170212161979,3
20070808072527,3
20050112042352,3
20110908111876,3
20110806111634,3
20091009091433,2
20170706170908,2
20140908140093,2
20101211102210,3
20071210070619,3
20080112071030,2
20030705031496,2
20041211041515,3
20130504130083,3
20080806080687,2
20130504130797,2
20140201141497,4
20101211101234,2
20080908082215,1
20120201122132,3
20180706181766,2
20150706150564,3
20100403102042,3
20181211180123,4
20150201150833,1
20070404071944,4
20031110031776,3
20100706101622,2
20041109042441,3
20091211091098,3
20131110131759,2
20090504090511,2
20070908071280,3
20080403081427,3
20030112021692,3
20090101091238,2
20031110031492,1
20080202081133,2
20160505161295,3
20080202082322,3
20100302102379,3
20150504150792,2
20140605141803,3
20080908081528,3
20160201160768,4
20160302162346,3
20120706121604,3
